Microwshed_ID,Area_Acres,Pond_Count,Average_Pond_Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pondshed_to_Pond_Ratio,Pond Area /_MWS Area_Percentage,Pondshed_to_MWS_Ratio,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,664.08,16,5.35,85.62,488.21,5.70,12.89,0.74,222.57,4270.59,620.02,31.24,66.97
130,496.46,9,7.36,66.20,262.63,3.97,13.33,0.53,172.24,3104.94,433.29,20.33,42.43
95,1289.40,14,2.37,33.15,250.70,7.56,2.57,0.19,86.57,2425.84,322.85,23.65,24.01
121,549.40,12,3.12,37.44,229.64,6.13,6.82,0.42,97.70,4024.64,557.60,33.30,76.92
133,262.41,6,7.83,47.01,203.25,4.32,17.91,0.77,122.50,1729.35,253.12,21.26,39.39
102,401.12,9,2.43,21.89,152.42,6.96,5.46,0.38,57.38,2644.40,379.47,38.84,81.76
150,140.48,5,6.59,32.93,111.85,3.40,23.44,0.80,86.01,707.95,92.86,22.74,45.73
116,334.07,6,2.62,15.74,104.79,6.66,4.71,0.31,41.45,2286.03,314.38,34.74,79.74
135,138.28,4,10.71,42.82,92.06,2.15,30.97,0.67,111.64,980.87,142.14,21.89,42.74
128,117.94,4,7.00,27.99,83.96,3.00,23.73,0.71,73.20,718.14,101.19,21.58,25.95
173,65.56,2,8.04,16.07,61.48,3.83,24.51,0.94,42.30,452.76,67.73,30.84,76.42
132,54.89,1,28.93,28.93,54.71,1.89,52.71,1.00,75.64,328.39,48.81,19.83,40.62
134,63.62,3,11.04,33.12,50.87,1.54,52.06,0.80,86.49,386.51,57.18,23.01,34.51
